ID,章,章タイトル,節,節タイトル,問題番号,難易度,文法事項,Focus,日本語,英文（穴埋め）,ヒント,英文（完全）,答え,Tip（思考誘導）,解説,語句・熟語,注意・補足,Words to Use
1,1章,時制・完了形,-,-,1-1,基本,-,F 023,父はよくネットで買い物をする。,My father often ( )( ).,-,My father often shops online.,shops / online,「現在の習慣」を表すとき、時制はどうする? 「買い物をする」を1語の自動詞で表すと? 「ネットで」を1語の副詞で表すと?,現在形は「今この瞬間」ではなく、「現在を含む広い範囲の時」を表す。現在の状態や現在の習慣的・反復的動作、変わらない事実や真理を表す。,このshop は自動詞。英語では1つの単語が複数の品詞で使われることがある。 ○ shop online 「ネットで買い物をする」 - online shop 「ネットショップ」,-,shop / online / go around / care / start / water / rain / resemble
2,1章,時制・完了形,-,-,1-2,基本,-,F 024,地球は太陽の周りを回っている。,The Earth ( )( ) the Sun.,-,The Earth goes around the Sun.,goes / around,「過去・現在・未来を通じて変わらない事実」を表すとき、時制はどうする?,過去・現在・未来を通じて変わらない事実や真理を表すときは現在形を使う。,○ go around A 「Aの周りを回る」,-,shop / online / go around / care / start / water / rain / resemble
3,1章,時制・完了形,-,-,1-3,基本,-,F 034,ペットの世話は子どもに責任感を教える。,(C) for pets (t) children responsibility.,C / t,Caring for pets teaches children responsibility.,Caring / teaches,「ペットの世話をすること」を主語にするときどうする? 動詞が現在形のときに注意しないといけないことは?,主語が3人称単数の場合、動詞が現在形のときは、3単現(3人称単数現在)の-sが必要。動名詞や不定詞の主語は単数扱いになる。,○ care for a pet 「ペットの世話をする」,-,shop / online / go around / care / start / water / rain / resemble
4,1章,時制・完了形,-,-,2,基本,-,-,コンサートは6時半から始まる。,The concert ( )( ) six thirty.,-,The concert starts at six thirty.,starts / at,すでに確定していて、確実にやって来る未来の予定を表す時制は?,交通機関の時刻や劇場の開始予定など、現時点で確定している未来の予定については現在形を使う。時の一点を示す前置詞はat。「~から始まる→~に始まる」,-,-,shop / online / go around / care / start / water / rain / resemble
5,1章,時制・完了形,-,-,3-1,基本,-,F 025,その女性は花に水をやっている。,The woman ( )( ) some flowers.,-,The woman is watering some flowers.,is / watering,「現在行っている動作」を表す形は? 「~に水をやる」を表す他動詞は?,「(今)~している(ところだ)」という今まさに行われている動作や行為を表すのは現在進行形。現在進行形はam/are/is doingの形。,○ water flowers 「花に水をやる」 ―このwater は他動詞,-,shop / online / go around / care / start / water / rain / resemble
6,1章,時制・完了形,-,-,3-2,基本,-,"F 023, F 025",ケンはいつも自転車で通学しているが、雨が降っているので今日はバスに乗っている。,"Ken usually ( ) to school by bike, but today he is on the bus because it ( )( ).",-,"Ken usually goes to school by bike, but today he is on the bus because it is raining.",goes / is / raining,「いつもの習慣」を表すときの時制は? 「今まさに〜している」を表す形は?,「~している」が常に現在進行形とは限らない。「いつも〜する」という現在の習慣は現在形、「~している」という今まさに起こっていることは現在進行形で表す。,-,-,shop / online / go around / care / start / water / rain / resemble
7,1章,時制・完了形,-,-,4,基本,-,-,その留学生はトム・ホランドにちょっと似ている。,The international student ( ) Tom Holland a bit.,-,The international student resembles Tom Holland a bit.,resembles,「〜している」がすべて進行形になるとは限らない。「似ている」を表す動詞の形は?,動詞には動作や行為を表す動作動詞(~する)と、ある状態が続いていることを表す状態動詞(〜である、~している)の区別がある。状態動詞は原則として進行形にしない。resemble 「~に似ている」は状態動詞。,international student「留学生」,-,shop / online / go around / care / start / water / rain / resemble
8,1章,時制・完了形,-,-,5,基本,-,-,プラスチックごみが環境を破壊している。,Plastic waste ( )(d) the environment.,d,Plastic waste is damaging the environment.,is / damaging,「(ある程度長い時間)~している」ことを切迫感や臨場感を伴って表す形は?,現在進行形を使うことで、切迫感や臨場感を表すことができる。,"○ plastic waste 「プラスチックごみ」, ○ damage the environment「環境を破壊する」",-,damage / get / climb / ago / call / make / be~back
9,1章,時制・完了形,-,-,6,基本,-,F 034,その2人は来年結婚する。,The couple ( )( ) married next year.,-,The couple are [is] getting married next year.,are [is] / getting,「計画が進行中の未来の予定」を表す形は?,すでに計画が進行中で具体的な準備が進んでいる場合は現在進行形を使って未来の予定を表せる。この用法は未来を表す時の副詞と共に使うのが普通。,couple 「1組の男女」は単数扱い・複数扱いのどちらでも可。 get married「結婚する」,-,damage / get / climb / ago / call / make / be~back
10,1章,時制・完了形,-,-,7-1,基本,-,F 027,おととしの夏、家族で富士山に登った。,I ( ) Mt. Fuji with my family two ( ) ago.,-,I climbed Mt. Fuji with my family two summers ago.,climbed / summers,「おととしの夏」は「2つの夏の前」と表現する。過去を示す表現と共に使われる時制は?,過去形は「過去のこと」を表す時制。過去の長い期間の状態、過去1回きりの動作・行為・出来事、過去の習慣的・反復的動作はすべて過去形で表すことができる。~ago 「~前に」などの過去を表す語句と共に使う。,two summers ago 「おととしの夏」,-,damage / get / climb / ago / call / make / be~back
11,1章,時制・完了形,-,-,7-2,発展,-,F 026,小学生の時、1年間東京に住んでいたことがある。,I ( ) in Tokyo for a year when I ( ) in elementary school.,-,I lived in Tokyo for a year when I was in elementary school.,lived / was,「~していたことがある」という日本語に惑わされない。「小学生の時」は過去。,「住んでいたことがある」というのは、「(当時) 住んでいた」という「現在とは切り離された過去の状態」を表すので過去形を使う。完了形にはしない。,when S' was in elementary school 「S' が小学生の時」,-,damage / get / climb / ago / call / make / be~back
12,1章,時制・完了形,-,-,8,基本,-,F 028,友人が電話した時、サラは図書館で勉強していた。,Sara ( )( ) in the library when her friend ( ) her.,-,Sara was studying in the library when her friend called her.,was / studying / called,「電話した」のは「過去の一時点」、「勉強していた」のは「その時に行われていた行為」。それぞれ適切な動詞の形は?,「(その時)~していた、〜している途中だった」という「過去のある時点」において一時的に行われていた動作や行為は過去進行形 was/were doing で表す。,-,-,damage / get / climb / ago / call / make / be~back
13,1章,時制・完了形,-,-,9-1,基本,-,F 029,自動運転車は交通をより安全にするだろう。,Self-driving cars ( )( ) transportation safer.,-,Self-driving cars will make transportation safer.,will / make,「~するだろう」と未来に起こると予想される事柄を表す一般的な表現は?,"未来の事柄は will do, be going to do などの未来を表す表現を使う。will do は未来に起こると予想される事柄を表す一般的な表現。will do①「~だろう」 ② 「~するつもりだ、〜します」","self-driving car「自動運転車」, make A safer 「Aをより安全にする」, transportation「輸送手段,交通手段」一複数形にはならない。",-,damage / get / climb / ago / call / make / be~back
14,1章,時制・完了形,-,-,9-2,基本,-,F 029,「裕子おばさんが3時にここに来るから、早く帰って来なさい。」「わかった。その時までには帰るよ。」,"""Aunt Yuko (w)( )( )( ) at 3:00. Come home early."" ""ΟΚ. ( )(b)( ) by then.""",w / b,"""Aunt Yuko will be here at 3:00. Come home early."" ""OK. I'll be back by then.""",will / be / here / I'll / be / back,「~するよ」という「その場で決めた未来の意志」を表す表現は?,1文めは予想される未来の事柄を表す。応答文の2文めは「~するつもりだ、~します」という主語の意志を表し、このwill を意志未来のwill と呼ぶ。,by then 「その時までには」,-,damage / get / climb / ago / call / make / be~back
15,1章,時制・完了形,-,-,9-3,基本,-,F 030,「7時まで図書館で勉強する予定なんだ。」「そうなの?」,"""( )(g)( )( ) in the library until 7:00."" ""Are you?""",g,"""I'm going to study in the library until 7:00."" ""Are you?""",I'm / going / to / study,「発話の時点ですでに決めてある未来の予定」を表す表現は?,be going to do は発話の時点ですでに決まっている未来の予定を表す。be going to do の疑問文はbe動詞を文頭に出す。,"be going to do 「~する予定だ」, until+時刻 「〜までずっと」",-,damage / get / climb / ago / call / make / be~back
16,1章,時制・完了形,-,-,10,発展,-,F 031,土曜日の午後、私たちはビーチの清掃をしているだろう。,We ( )( )(c) up the beach on Saturday afternoon.,c,We will be cleaning up the beach on Saturday afternoon.,will / be / cleaning,「未来のある時点」において「~しているだろう」を表す表現は?,「~しているだろう」という未来のある時点において行われているであろう動作は未来進行形 will be doing で表す。,"clean (up) the beach 「ピーチを清掃する」, on Saturday afternoon 「土曜の午後に」",-,clean / start / know / learn
17,1章,時制・完了形,-,-,11,基本,-,F 035,映画が始まろうとしていて、人々が席に着いているところだ。,The movie ( )( )( )( ) and people are taking their seats.,-,The movie is about to start and people are taking their seats.,is / about / to / start,「まさに〜しようとしている」という「差し迫った未来」を表す表現は?,be going to do 「~する予定だ」よりも差し迫った未来を表す。,"be about to do 「まさに〜しようとしている」, take a [one's] seat 「席に着く」",-,clean / start / know / learn
18,1章,時制・完了形,-,-,12,基本,-,F 036,ここ数年で私たちの生活様式はずいぶん変わった。,Our way of life ( )( ) a lot in the last few years.,-,Our way of life has changed a lot in the last few years.,has / changed,「ここ数年で」ということは、「過去」からの変化が「現在」にも及んでいるということ。これを表す適切な表現は?,「過去の出来事」と「現在」をつなぐ表現が現在完了形。have+過去分詞 (done)で表す。現在までの動作・行為の完了・結果 「~したところだ、〜してしまって･･･だ」,in the last [past] few years 「ここ数年で」,-,clean / start / know / learn
19,1章,時制・完了形,-,-,13-1,基本,-,F 037,その話は前に聞いたことがある。,I ( )( ) that story before.,-,I have heard that story before.,have / heard,「過去にその話を聞いて、今それを知っている」を表す形は?,現在までの経験 「~したことがある」。過去に聞いて、今それを知っているということ。現在に焦点がある。,before「以前に」,-,clean / start / know / learn
20,1章,時制・完了形,-,-,13-2,基本,-,F 037,何度か東京に行ったことがある。,I ( )( )( ) Tokyo several times.,-,I have been to Tokyo several times.,have / been / to,「~に行ったことがある」という経験を表す表現は?,have been to A 「Aに行ったことがある(経験)」,"several times 「数回,何度か」",-,clean / start / know / learn
21,1章,時制・完了形,-,-,14,基本,-,F 038,ケンとは小学校で一緒だった頃からの付き合いだ。,I ( )( ) Ken since we were in elementary school together.,-,I have known Ken since we were in elementary school together.,have / known,「付き合いだ→ ずっと知っている」と考える。現在までの状態の継続を表す形は?,現在までの状態の継続 「ずっと〜だ」。「状態の継続」の用法で使う動詞は状態動詞。,-,-,clean / start / know / learn
22,1章,時制・完了形,-,-,15,基本,-,F 039,私は8年間、英語を習っている。,I ( )( )( ) English for eight years.,-,I have been learning English for eight years.,have / been / learning,「ずっと〜し続けている」を表す形は? 「過去から現在までの動作の継続」を表す。,「動作の継続」は完了進行形で表す。現在までの動作の継続 「ずっと〜し続けている」。動作動詞を使って現在完了進行形 have been doing で表す。,-,-,clean / start / know / learn
